alcaldia,colonia_crime,colonia_geo,match_type,matched,n_points,lat,lng
TLALPAN,Tequimila,,no_points,False,2,,
TLALPAN,Tezontitla,,no_points,False,1,,
TLALPAN,Villa Cuemanco Infonavit,,no_points,False,1,,
TLALPAN,Zacatón,,spatial_miss,False,254,19.26653984895996,-99.24235692506898
VENUSTIANO CARRANZA,Aeropuerto Internacional Benito Juárez,,no_points,False,0,,
VENUSTIANO CARRANZA,Alameda Oriente,,no_points,False,1,,
XOCHIMILCO,Acoca,,spatial_miss,False,11,19.246921693839838,-99.13352380415168
XOCHIMILCO,Alcanfores,,spatial_miss,False,11,19.237804093193485,-99.08754712736616
XOCHIMILCO,Altos Tepetlica,,spatial_miss,False,8,19.23442649401581,-99.14018483628209
XOCHIMILCO,Anahuac,,no_points,False,1,,
XOCHIMILCO,Aztlan Los Apaches,,spatial_miss,False,5,19.28746318393358,-99.10610894399998
XOCHIMILCO,División Del Norte Infonavit,Ampliacion San Marcos Norte,spatial,True,7,19.274553065520944,-99.11197463064121
XOCHIMILCO,Dr. Ignacio Chávez Infonavit,,no_points,False,1,,
XOCHIMILCO,Duraznotitla,Pueblo San Jose Zacatepec,spatial,True,4,19.2402375,-99.1270025
XOCHIMILCO,El Mirador I(San Lucas Xochimanca),,spatial_miss,False,41,19.23449192480983,-99.10523198273884
XOCHIMILCO,El Olivo (San Lorenzo),,no_points,False,1,,
XOCHIMILCO,Justicia Social,,spatial_miss,False,4,19.259517778828826,-99.02749397254735
XOCHIMILCO,Lomas Estrella 2a Seccion,,no_points,False,1,,
XOCHIMILCO,Manantiales,,no_points,False,1,,
XOCHIMILCO,Nueva Tototitla,,spatial_miss,False,17,19.224031203021337,-99.09585878145323
XOCHIMILCO,Parque Ecologico De Xochimilco,,spatial_miss,False,381,19.298195933986108,-99.09740874268438
XOCHIMILCO,Pedregal De San Francisco,,spatial_miss,False,8,19.210540171726105,-99.1303410596792
XOCHIMILCO,Pista Olimpica Virgilio Uribe (Canal De Cuemanco),,spatial_miss,False,124,19.290541380689785,-99.10244402073072
XOCHIMILCO,Predio El Molino,,no_points,False,1,,
XOCHIMILCO,San Francisco Chiquimola,,spatial_miss,False,6,19.24428536126923,-99.02454305497888
XOCHIMILCO,San Jose Obrero,,no_points,False,1,,
XOCHIMILCO,San Salvador Cuauhtenco Seccion Iii,,no_points,False,1,,
XOCHIMILCO,Santa Cruz Acalpixca - Pueblo,Barrio Apatlaco,spatial,True,55,19.24874251309357,-99.07518736645183
XOCHIMILCO,Santa Maria De Los Olivos - Barrio,,spatial_miss,False,66,19.245111360043985,-99.01000850809426
XOCHIMILCO,Tecacalanco,,spatial_miss,False,139,19.23905190812215,-99.06980790671126
XOCHIMILCO,Tehuixtitla,,spatial_miss,False,26,19.23832050882089,-99.06867464660888
XOCHIMILCO,Tejomulco El Alto,,spatial_miss,False,34,19.23962400441356,-99.0849835627833
XOCHIMILCO,Tepeyeca,,spatial_miss,False,4,19.241601456699026,-99.0565184278655
XOCHIMILCO,Toltenco,,spatial_miss,False,105,19.276982333308403,-99.11325019576597
XOCHIMILCO,Triangulo De Las Agujas,,no_points,False,1,,
XOCHIMILCO,Tula (San Pedro Atocpan),,no_points,False,1,,
XOCHIMILCO,Vaso De Regulacion,,spatial_miss,False,28,19.286979971928123,-99.11142272732799
XOCHIMILCO,Zacatepec(San Mateo Xalpa),Pueblo San Mateo Xalpa,spatial,True,8,19.237748791643412,-99.1234469491609
